Date : 2022-06-15 14:21:54
Directory : /Users/clifford/Codings/winda-test
Total : 231 files,  55532 codes, 3178 comments, 3278 blanks, all 61988 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| pages/login                                                                        |          1 |         10 |          0 |          3 |         13 |
| pages/logout                                                                       |          1 |         13 |          0 |          4 |         17 |
| pages/map-test                                                                     |          1 |         10 |          0 |          3 |         13 |
| pages/order-successfull                                                            |          1 |        149 |          0 |         15 |        164 |
| pages/orders                                                                       |          1 |      1,410 |        389 |        121 |      1,920 |
| pages/signup                                                                       |          1 |          9 |          0 |          2 |         11 |
| pages/stays                                                                        |          2 |      4,069 |        813 |        310 |      5,192 |
| pages/transport                                                                    |          2 |      2,937 |          4 |        200 |      3,141 |
| pages/trip                                                                         |          3 |      2,843 |        229 |        203 |      3,275 |
| pages/trip/activities                                                             |          1 |        491 |          0 |         50 |        541 |
| pages/trip/plan                                                                    |          1 |      2,057 |          3 |        111 |      2,171 |
| pages/trip/stays                                                                   |          1 |        295 |        226 |         42 |        563 |
| public                                                                             |          2 |          5 |          0 |          0 |          5 |
| public/images                                                                      |          1 |          1 |          0 |          0 |          1 |
| redux                                                                              |         13 |        648 |          0 |        112 |        760 |
| redux/actions                                                                      |          5 |        373 |          0 |         33 |        406 |
| redux/reducers                                                                     |          7 |        258 |          0 |         71 |        329 |
| styles                                                                             |         22 |        608 |         13 |        107 |        728 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                           | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/clifford/Codings/winda-test/.eslintrc.json                                  | JSON with Comments |          3 |          0 |          1 |          4 |
| /Users/clifford/Codings/winda-test/README.md                                       | Markdown           |         20 |          0 |         15 |         35 |
| /Users/clifford/Codings/winda-test/components/Activities/ActivitiesFilterItems.jsx | JavaScript React   |         68 |          2 |         12 |         82 |
| /Users/clifford/Codings/winda-test/components/Activities/Listing.jsx               | JavaScript React   |        579 |         54 |         49 |        682 |
| /Users/clifford/Codings/winda-test/components/Activities/Listings.jsx              | JavaScript React   |         33 |          1 |          5 |         39 |
| /Users/clifford/Codings/winda-test/components/Activities/Map.jsx                   | JavaScript React   |         66 |          1 |          8 |         75 |
| /Users/clifford/Codings/winda-test/components/Activities/MapMakerPopup.jsx         | JavaScript React   |         75 |         21 |         15 |        111 |
| /Users/clifford/Codings/winda-test/components/Activities/MapMakers.jsx             | JavaScript React   |        149 |          0 |         13 |        162 |
| /Users/clifford/Codings/winda-test/components/Activities/ScrollTo.jsx              | JavaScript React   |        187 |          0 |         11 |        198 |
| /Users/clifford/Codings/winda-test/components/Cart/CartItem.jsx                    | JavaScript React   |      1,079 |          0 |         61 |      1,140 |
| /Users/clifford/Codings/winda-test/components/Cart/OrderItem.jsx                   | JavaScript React   |        140 |          0 |         11 |        151 |
| /Users/clifford/Codings/winda-test/components/Cart/OrderItemActivities.jsx         | JavaScript React   |        134 |          0 |         11 |        145 |
| /Users/clifford/Codings/winda-test/components/ClientOnly.jsx                       | JavaScript React   |         10 |          0 |          6 |         16 |
| /Users/clifford/Codings/winda-test/components/CreateStay/Amenities.jsx             | JavaScript React   |         18 |          0 |          4 |         22 |
| /Users/clifford/Codings/winda-test/components/CreateStay/AmenitiesOptions.jsx      | JavaScript React   |         64 |          0 |          8 |         72 |
| /Users/clifford/Codings/winda-test/components/CreateStay/BoutiqueHotelOptions.jsx  | JavaScript React   |         46 |          0 |          9 |         55 |
| /Users/clifford/Codings/winda-test/components/CreateStay/CampsiteOptions.jsx       | JavaScript React   |         47 |          0 |          8 |         55 |
| /Users/clifford/Codings/winda-test/components/CreateStay/CreateStay.jsx            | JavaScript React   |         40 |          0 |          4 |         44 |
| /Users/clifford/Codings/winda-test/components/CreateStay/DescribeStay.jsx          | JavaScript React   |         54 |          0 |          5 |         59 |
| /Users/clifford/Codings/winda-test/components/CreateStay/DescriptionAboutPlace.jsx | JavaScript React   |         38 |          5 |         10 |         53 |
| /Users/clifford/Codings/winda-test/components/CreateStay/Details.jsx               | JavaScript React   |        169 |          5 |         11 |        185 |
| /Users/clifford/Codings/winda-test/components/CreateStay/HouseOptions.jsx          | JavaScript React   |         54 |          0 |          9 |         63 |
| /Users/clifford/Codings/winda-test/components/CreateStay/ImageThumb.jsx            | JavaScript React   |         48 |          0 |          3 |         51 |
| /Users/clifford/Codings/winda-test/components/CreateStay/ImageUpload.jsx           | JavaScript React   |         23 |         68 |          8 |         99 |
| /Users/clifford/Codings/winda-test/components/CreateStay/Location.jsx              | JavaScript React   |        129 |          0 |         11 |        140 |
| /Users/clifford/Codings/winda-test/components/CreateStay/LodgeOptions.jsx          | JavaScript React   |         46 |          0 |          8 |         54 |
| /Users/clifford/Codings/winda-test/components/CreateStay/Map.jsx                   | JavaScript React   |         59 |          2 |          8 |         69 |
| /Users/clifford/Codings/winda-test/components/CreateStay/Pricing.jsx               | JavaScript React   |        136 |          0 |          7 |        143 |
| /Users/clifford/Codings/winda-test/components/CreateStay/Rooms.jsx                 | JavaScript React   |         37 |          0 |          4 |         41 |
| /Users/clifford/Codings/winda-test/components/CreateStay/Stay.jsx                  | JavaScript React   |        183 |          0 |         13 |        196 |
| /Users/clifford/Codings/winda-test/components/CreateStay/TypeOfStay.jsx            | JavaScript React   |        107 |          0 |          7 |        114 |
| /Users/clifford/Codings/winda-test/components/CreateStay/UniqueAboutPlace.jsx      | JavaScript React   |         36 |          5 |         10 |         51 |
| /Users/clifford/Codings/winda-test/components/CreateStay/UniqueSpaceOptions.jsx    | JavaScript React   |         53 |          0 |          7 |         60 |
| /Users/clifford/Codings/winda-test/components/Home/ActivitiesSearch.jsx            | JavaScript React   |        201 |          0 |          5 |        206 |
| /Users/clifford/Codings/winda-test/components/Home/Footer.jsx                      | JavaScript React   |        168 |          0 |          3 |        171 |
| /Users/clifford/Codings/winda-test/components/Home/Guest.jsx                       | JavaScript React   |         38 |          0 |          3 |         41 |
| /Users/clifford/Codings/winda-test/components/Home/InHeaderNavbar.jsx              | JavaScript React   |        116 |          0 |         17 |        133 |
| /Users/clifford/Codings/winda-test/components/Home/Main.jsx                        | JavaScript React   |        238 |          0 |         15 |        253 |
| /Users/clifford/Codings/winda-test/components/Home/MobileSearchSelect.jsx          | JavaScript React   |         50 |          0 |          4 |         54 |
| /Users/clifford/Codings/winda-test/components/Home/Navbar.jsx                      | JavaScript React   |         49 |          0 |          5 |         54 |
| /Users/clifford/Codings/winda-test/components/Home/Pagination.jsx                  | JavaScript React   |         52 |          2 |          3 |         57 |
| /Users/clifford/Codings/winda-test/components/Home/Search.jsx                      | JavaScript React   |        245 |          0 |         10 |        255 |
| /Users/clifford/Codings/winda-test/components/Home/SearchButtonClose.jsx           | JavaScript React   |         26 |          0 |          4 |         30 |
| /Users/clifford/Codings/winda-test/components/Home/SearchSelect.jsx                | JavaScript React   |         61 |          0 |          4 |         65 |
| /Users/clifford/Codings/winda-test/components/Home/StickyHeader.jsx                | JavaScript React   |         66 |          0 |          8 |         74 |
| /Users/clifford/Codings/winda-test/components/Home/TeamExperience.jsx              | JavaScript React   |         47 |          3 |          3 |         53 |
| /Users/clifford/Codings/winda-test/components/Home/TopBanner.jsx                   | JavaScript React   |         50 |          1 |          7 |         58 |
| /Users/clifford/Codings/winda-test/components/Home/TransportSearch.jsx             | JavaScript React   |        280 |          0 |          9 |        289 |
| /Users/clifford/Codings/winda-test/components/Home/UserDropdown.jsx                | JavaScript React   |        165 |          0 |          7 |        172 |
| /Users/clifford/Codings/winda-test/components/Lodging/Amenities.jsx                | JavaScript React   |         90 |          2 |         12 |        104 |
| /Users/clifford/Codings/winda-test/components/Lodging/Filter.jsx                   | JavaScript React   |          5 |          0 |          3 |          8 |
| /Users/clifford/Codings/winda-test/components/Lodging/Listing.jsx                  | JavaScript React   |        534 |        173 |         50 |        757 |
| /Users/clifford/Codings/winda-test/components/Lodging/Listings.jsx                 | JavaScript React   |         33 |         14 |          5 |         52 |
| /Users/clifford/Codings/winda-test/components/Lodging/Map.jsx                      | JavaScript React   |         64 |          1 |          8 |         73 |
| /Users/clifford/Codings/winda-test/components/Lodging/MapMakerPopup.jsx            | JavaScript React   |         73 |         21 |         15 |        109 |
| /Users/clifford/Codings/winda-test/components/Lodging/MapMakers.jsx                | JavaScript React   |        146 |          0 |         13 |        159 |
| /Users/clifford/Codings/winda-test/components/Lodging/MobileStayTypes.jsx          | JavaScript React   |         68 |          0 |         13 |         81 |
| /Users/clifford/Codings/winda-test/components/Lodging/Navbar.jsx                   | JavaScript React   |        406 |          0 |         37 |        443 |
| /Users/clifford/Codings/winda-test/components/Lodging/PriceFilter.jsx              | JavaScript React   |         62 |          0 |          3 |         65 |
| /Users/clifford/Codings/winda-test/components/Lodging/RemoveFixed.jsx              | JavaScript React   |         31 |          4 |          5 |         40 |
| /Users/clifford/Codings/winda-test/components/Lodging/RoomFilter.jsx               | JavaScript React   |         62 |          1 |          3 |         66 |
| /Users/clifford/Codings/winda-test/components/Lodging/StayTypes.jsx                | JavaScript React   |        119 |          1 |         17 |        137 |
| /Users/clifford/Codings/winda-test/components/Lodging/ThemeFilter.jsx              | JavaScript React   |         74 |          2 |         13 |         89 |
| /Users/clifford/Codings/winda-test/components/Login/Login.jsx                      | JavaScript React   |         16 |          0 |          3 |         19 |
| /Users/clifford/Codings/winda-test/components/Login/LoginForm.jsx                  | JavaScript React   |        200 |          0 |         14 |        214 |
| /Users/clifford/Codings/winda-test/components/Order/Cluster.jsx                    | JavaScript React   |         41 |          0 |          3 |         44 |
| /Users/clifford/Codings/winda-test/components/Order/Destination.jsx                | JavaScript React   |        191 |         19 |         18 |        228 |
| /Users/clifford/Codings/winda-test/components/Order/DriversMarker.jsx              | JavaScript React   |        107 |          1 |         10 |        118 |
| /Users/clifford/Codings/winda-test/components/Order/ImageGallery.jsx               | JavaScript React   |         47 |          0 |          7 |         54 |
| /Users/clifford/Codings/winda-test/components/Order/ListingMapMakerPopup.jsx       | JavaScript React   |         75 |         21 |         15 |        111 |
| /Users/clifford/Codings/winda-test/components/Order/Map.jsx                        | JavaScript React   |        398 |        143 |         54 |        595 |
| /Users/clifford/Codings/winda-test/components/Order/MapMakerPopup.jsx              | JavaScript React   |        141 |          0 |         18 |        159 |
| /Users/clifford/Codings/winda-test/components/Order/MapMakers.jsx                  | JavaScript React   |        145 |          0 |         15 |        160 |
| /Users/clifford/Codings/winda-test/components/Order/OrderCard.jsx                  | JavaScript React   |        566 |          0 |         31 |        597 |
| /Users/clifford/Codings/winda-test/components/Order/PolylineOverlay.jsx            | JavaScript React   |         28 |         26 |          9 |         63 |
| /Users/clifford/Codings/winda-test/components/Order/Search.jsx                     | JavaScript React   |        307 |         24 |         22 |        353 |
| /Users/clifford/Codings/winda-test/components/Order/SearchDetails.jsx              | JavaScript React   |        184 |         17 |          8 |        209 |
| /Users/clifford/Codings/winda-test/components/Order/TransportTrip.jsx              | JavaScript React   |        102 |          0 |          8 |        110 |
| /Users/clifford/Codings/winda-test/components/Order/Trip.jsx                       | JavaScript React   |      1,648 |         47 |        113 |      1,808 |
| /Users/clifford/Codings/winda-test/components/Order/TripActivityCard.jsx           | JavaScript React   |        156 |          0 |         16 |        172 |
| /Users/clifford/Codings/winda-test/components/Order/TripOverview.jsx               | JavaScript React   |        292 |          8 |         35 |        335 |
| /Users/clifford/Codings/winda-test/components/Order/TripStayCard.jsx               | JavaScript React   |        164 |          0 |         19 |        183 |
| /Users/clifford/Codings/winda-test/components/Order/TripTransportCard.jsx          | JavaScript React   |        170 |          0 |         16 |        186 |
| /Users/clifford/Codings/winda-test/components/SigninLayout/SigninLayout.jsx        | JavaScript React   |         60 |          0 |          4 |         64 |
| /Users/clifford/Codings/winda-test/components/Signup/Signup.jsx                    | JavaScript React   |         16 |          0 |          4 |         20 |
| /Users/clifford/Codings/winda-test/components/Signup/SignupForm.jsx                | JavaScript React   |        233 |          0 |         12 |        245 |
| /Users/clifford/Codings/winda-test/components/Stay/AllReviews.jsx                  | JavaScript React   |        140 |          0 |         16 |        156 |
| /Users/clifford/Codings/winda-test/components/Stay/Amenities.jsx                   | JavaScript React   |        672 |          0 |         36 |        708 |
| /Users/clifford/Codings/winda-test/components/Stay/CreateReview.jsx                | JavaScript React   |        148 |          5 |         14 |        167 |
| /Users/clifford/Codings/winda-test/components/Stay/DescribesStay.jsx               | JavaScript React   |        350 |          0 |         23 |        373 |
| /Users/clifford/Codings/winda-test/components/Stay/ImageGallery.jsx                | JavaScript React   |         72 |          0 |          7 |         79 |
| /Users/clifford/Codings/winda-test/components/Stay/Map.jsx                         | JavaScript React   |         43 |          0 |          5 |         48 |
| /Users/clifford/Codings/winda-test/components/Stay/MobileSearchModal.jsx           | JavaScript React   |        199 |          0 |         20 |        219 |
| /Users/clifford/Codings/winda-test/components/Stay/Navbar.jsx                      | JavaScript React   |        411 |         24 |         38 |        473 |
| /Users/clifford/Codings/winda-test/components/Stay/Price.jsx                       | JavaScript React   |         44 |          0 |         10 |         54 |
| /Users/clifford/Codings/winda-test/components/Stay/Review.jsx                      | JavaScript React   |        159 |          0 |         11 |        170 |
| /Users/clifford/Codings/winda-test/components/Stay/ReviewOverview.jsx              | JavaScript React   |        110 |          0 |          9 |        119 |
| /Users/clifford/Codings/winda-test/components/Stay/Reviews.jsx                     | JavaScript React   |         83 |          0 |          7 |         90 |
| /Users/clifford/Codings/winda-test/components/Stay/ScrollTo.jsx                    | JavaScript React   |        184 |          0 |         11 |        195 |
| /Users/clifford/Codings/winda-test/components/Stay/Share.jsx                       | JavaScript React   |        157 |          0 |         11 |        168 |
| /Users/clifford/Codings/winda-test/components/Transport/AllReviews.jsx             | JavaScript React   |        142 |          0 |         17 |        159 |
| /Users/clifford/Codings/winda-test/components/Transport/CreateReview.jsx           | JavaScript React   |        148 |          5 |         14 |        167 |
| /Users/clifford/Codings/winda-test/components/Transport/FilterTags.jsx             | JavaScript React   |        103 |          0 |          8 |        111 |
| /Users/clifford/Codings/winda-test/components/Transport/Footer.jsx                 | JavaScript React   |        156 |          0 |          3 |        159 |
| /Users/clifford/Codings/winda-test/components/Transport/ImageGallery.jsx           | JavaScript React   |        118 |          2 |          7 |        127 |
| /Users/clifford/Codings/winda-test/components/Transport/Listing.jsx                | JavaScript React   |        158 |          0 |         17 |        175 |
| /Users/clifford/Codings/winda-test/components/Transport/Listings.jsx               | JavaScript React   |         23 |          0 |          5 |         28 |
| /Users/clifford/Codings/winda-test/components/Transport/Map.jsx                    | JavaScript React   |         84 |          1 |         10 |         95 |
| /Users/clifford/Codings/winda-test/components/Transport/MobileTransportTypes.jsx   | JavaScript React   |        157 |          0 |         17 |        174 |
| /Users/clifford/Codings/winda-test/components/Transport/Review.jsx                 | JavaScript React   |        157 |          0 |         10 |        167 |
| /Users/clifford/Codings/winda-test/components/Transport/ReviewOverview.jsx         | JavaScript React   |        115 |          0 |          9 |        124 |
| /Users/clifford/Codings/winda-test/components/Transport/Reviews.jsx                | JavaScript React   |         83 |          0 |          7 |         90 |
| /Users/clifford/Codings/winda-test/components/Transport/ScrollTo.jsx               | JavaScript React   |        148 |          0 |         11 |        159 |
| /Users/clifford/Codings/winda-test/components/Transport/TransportCategories.jsx    | JavaScript React   |        438 |          0 |         20 |        458 |
| /Users/clifford/Codings/winda-test/components/Transport/TransportTypes.jsx         | JavaScript React   |        119 |          1 |         17 |        137 |
| /Users/clifford/Codings/winda-test/components/Trip/ActivityCard.jsx                | JavaScript React   |        234 |          0 |         27 |        261 |
| /Users/clifford/Codings/winda-test/components/Trip/ActivityTrip.jsx                | JavaScript React   |         22 |          0 |          5 |         27 |
| /Users/clifford/Codings/winda-test/components/Trip/Card.jsx                        | JavaScript React   |        193 |          0 |         31 |        224 |
| /Users/clifford/Codings/winda-test/components/Trip/Search.jsx                      | JavaScript React   |        142 |          0 |          9 |        151 |
| /Users/clifford/Codings/winda-test/components/Trip/Tags.jsx                        | JavaScript React   |        411 |          0 |         23 |        434 |
| /Users/clifford/Codings/winda-test/components/Trip/Trips.jsx                       | JavaScript React   |         21 |          0 |          4 |         25 |
| /Users/clifford/Codings/winda-test/components/mapTestComponent/Map.jsx             | JavaScript React   |        139 |         68 |         20 |        227 |
| /Users/clifford/Codings/winda-test/components/ui/Accordion.jsx                     | JavaScript React   |         93 |          0 |          5 |         98 |
| /Users/clifford/Codings/winda-test/components/ui/Badge.jsx                         | JavaScript React   |         14 |          0 |          3 |         17 |
| /Users/clifford/Codings/winda-test/components/ui/BottomTooltip.jsx                 | JavaScript React   |         74 |          0 |          4 |         78 |
| /Users/clifford/Codings/winda-test/components/ui/Button.jsx                        | JavaScript React   |         55 |          0 |          7 |         62 |
| /Users/clifford/Codings/winda-test/components/ui/Card.jsx                          | JavaScript React   |         41 |          0 |          4 |         45 |
| /Users/clifford/Codings/winda-test/components/ui/Carousel.jsx                      | JavaScript React   |        122 |          2 |          9 |        133 |
| /Users/clifford/Codings/winda-test/components/ui/Checkbox.jsx                      | JavaScript React   |         26 |          0 |          4 |         30 |
| /Users/clifford/Codings/winda-test/components/ui/DatePicker.jsx                    | JavaScript React   |         69 |          0 |          5 |         74 |
| /Users/clifford/Codings/winda-test/components/ui/DatePickerOpen.jsx                | JavaScript React   |         44 |          0 |          4 |         48 |
| /Users/clifford/Codings/winda-test/components/ui/DatePickerRange.jsx               | JavaScript React   |         44 |          0 |          4 |         48 |
| /Users/clifford/Codings/winda-test/components/ui/Dropdown.jsx                      | JavaScript React   |         48 |          0 |          4 |         52 |
| /Users/clifford/Codings/winda-test/components/ui/FullScreenMobileModal.jsx         | JavaScript React   |        119 |          0 |          5 |        124 |
| /Users/clifford/Codings/winda-test/components/ui/Input.jsx                         | JavaScript React   |        104 |          3 |          4 |        111 |
| /Users/clifford/Codings/winda-test/components/ui/InputStarRating.jsx               | JavaScript React   |         28 |          0 |          4 |         32 |
| /Users/clifford/Codings/winda-test/components/ui/LargeFullscreenPopup.jsx          | JavaScript React   |        145 |          0 |          8 |        153 |
| /Users/clifford/Codings/winda-test/components/ui/LeftTooltip.jsx                   | JavaScript React   |         68 |          0 |          4 |         72 |
| /Users/clifford/Codings/winda-test/components/ui/ListItem.jsx                      | JavaScript React   |         16 |          0 |          4 |         20 |
| /Users/clifford/Codings/winda-test/components/ui/LoadingCardSkeleton.jsx           | JavaScript React   |         15 |          0 |          3 |         18 |
| /Users/clifford/Codings/winda-test/components/ui/LoadingPulse.jsx                  | JavaScript React   |         24 |          0 |          4 |         28 |
| /Users/clifford/Codings/winda-test/components/ui/LoadingSpinerChase.jsx            | JavaScript React   |         29 |          0 |          4 |         33 |
| /Users/clifford/Codings/winda-test/components/ui/Message.jsx                       | JavaScript React   |         45 |          0 |          4 |         49 |
| /Users/clifford/Codings/winda-test/components/ui/MobileModal.jsx                   | JavaScript React   |        143 |          0 |          9 |        152 |
| /Users/clifford/Codings/winda-test/components/ui/Modal.jsx                         | JavaScript React   |         97 |          0 |          8 |        105 |
| /Users/clifford/Codings/winda-test/components/ui/ModalPopup.jsx                    | JavaScript React   |        116 |          0 |          8 |        124 |
| /Users/clifford/Codings/winda-test/components/ui/Popup.jsx                         | JavaScript React   |         51 |          0 |          4 |         55 |
| /Users/clifford/Codings/winda-test/components/ui/Rating.jsx                        | JavaScript React   |         17 |          0 |          4 |         21 |
| /Users/clifford/Codings/winda-test/components/ui/ResponsiveModal.jsx               | JavaScript React   |         74 |          0 |          5 |         79 |
| /Users/clifford/Codings/winda-test/components/ui/RightTooltip.jsx                  | JavaScript React   |         68 |          0 |          4 |         72 |
| /Users/clifford/Codings/winda-test/components/ui/SecondCard.jsx                    | JavaScript React   |         49 |          0 |          4 |         53 |
| /Users/clifford/Codings/winda-test/components/ui/SelectInput.jsx                   | JavaScript React   |         36 |          0 |          4 |         40 |
| /Users/clifford/Codings/winda-test/components/ui/StayType.jsx                      | JavaScript React   |         29 |          0 |          4 |         33 |
| /Users/clifford/Codings/winda-test/components/ui/StyledLink.jsx                    | JavaScript React   |         16 |          0 |          4 |         20 |
| /Users/clifford/Codings/winda-test/components/ui/Switch.jsx                        | JavaScript React   |         47 |          0 |          4 |         51 |
| /Users/clifford/Codings/winda-test/components/ui/TextArea.jsx                      | JavaScript React   |         45 |          0 |          3 |         48 |
| /Users/clifford/Codings/winda-test/components/ui/TopBarMessage.jsx                 | JavaScript React   |         67 |          0 |          5 |         72 |
| /Users/clifford/Codings/winda-test/components/ui/TopTooltip.jsx                    | JavaScript React   |         73 |          0 |          4 |         77 |
| /Users/clifford/Codings/winda-test/lib/PriceRate.js                                | JavaScript         |         17 |          0 |          2 |         19 |
| /Users/clifford/Codings/winda-test/lib/getCart.js                                  | JavaScript         |         15 |          0 |          3 |         18 |
| /Users/clifford/Codings/winda-test/lib/getItemsInBasket.js                         | JavaScript         |        129 |          0 |         16 |        145 |
| /Users/clifford/Codings/winda-test/lib/getServerSideProps.js                       | JavaScript         |         93 |          4 |         12 |        109 |
| /Users/clifford/Codings/winda-test/lib/getToken.js                                 | JavaScript         |         15 |          0 |          3 |         18 |
| /Users/clifford/Codings/winda-test/lib/getTokenFromReq.js                          | JavaScript         |         13 |          0 |          2 |         15 |
| /Users/clifford/Codings/winda-test/lib/mixpanelconfig.js                           | JavaScript         |         33 |          1 |          5 |         39 |
| /Users/clifford/Codings/winda-test/lib/onScreen.js                                 | JavaScript         |         17 |          1 |          6 |         24 |
| /Users/clifford/Codings/winda-test/lib/pricePlan.js                                | JavaScript         |         75 |          0 |          3 |         78 |
| /Users/clifford/Codings/winda-test/lib/random.js                                   | JavaScript         |          9 |          0 |          2 |         11 |
| /Users/clifford/Codings/winda-test/lib/url.js                                      | JavaScript         |         23 |          0 |          1 |         24 |
| /Users/clifford/Codings/winda-test/next.config.js                                  | JavaScript         |         16 |          0 |          1 |         17 |
| /Users/clifford/Codings/winda-test/package-lock.json                               | JSON               |     16,640 |          0 |          1 |     16,641 |
| /Users/clifford/Codings/winda-test/package.json                                    | JSON               |         72 |          0 |          1 |         73 |
| /Users/clifford/Codings/winda-test/pages/_app.js                                   | JavaScript         |         32 |          0 |          6 |         38 |
| /Users/clifford/Codings/winda-test/pages/_document.js                              | JavaScript         |         40 |          0 |          4 |         44 |
| /Users/clifford/Codings/winda-test/pages/cart/index.jsx                            | JavaScript React   |        756 |          0 |         41 |        797 |
| /Users/clifford/Codings/winda-test/pages/create-stay/index.jsx                     | JavaScript React   |         10 |          0 |          3 |         13 |
| /Users/clifford/Codings/winda-test/pages/activities/[slug].jsx                    | JavaScript React   |      1,918 |        142 |        153 |      2,213 |
| /Users/clifford/Codings/winda-test/pages/activities/index.jsx                     | JavaScript React   |      1,034 |          2 |         74 |      1,110 |
| /Users/clifford/Codings/winda-test/pages/index.jsx                                 | JavaScript React   |        731 |        774 |         41 |      1,546 |
| /Users/clifford/Codings/winda-test/pages/login/index.jsx                           | JavaScript React   |         10 |          0 |          3 |         13 |
| /Users/clifford/Codings/winda-test/pages/logout/index.jsx                          | JavaScript React   |         13 |          0 |          4 |         17 |
| /Users/clifford/Codings/winda-test/pages/map-test/index.jsx                        | JavaScript React   |         10 |          0 |          3 |         13 |
| /Users/clifford/Codings/winda-test/pages/order-successfull/index.jsx               | JavaScript React   |        149 |          0 |         15 |        164 |
| /Users/clifford/Codings/winda-test/pages/orders/index.jsx                          | JavaScript React   |      1,410 |        389 |        121 |      1,920 |
| /Users/clifford/Codings/winda-test/pages/signup/index.jsx                          | JavaScript React   |          9 |          0 |          2 |         11 |
| /Users/clifford/Codings/winda-test/pages/stays/[slug].jsx                          | JavaScript React   |      2,157 |        101 |        152 |      2,410 |
| /Users/clifford/Codings/winda-test/pages/stays/index.jsx                           | JavaScript React   |      1,912 |        712 |        158 |      2,782 |
| /Users/clifford/Codings/winda-test/pages/transport/[slug].jsx                      | JavaScript React   |      1,974 |          0 |        136 |      2,110 |
| /Users/clifford/Codings/winda-test/pages/transport/index.jsx                       | JavaScript React   |        963 |          4 |         64 |      1,031 |
| /Users/clifford/Codings/winda-test/pages/trip/activities/index.jsx                | JavaScript React   |        491 |          0 |         50 |        541 |
| /Users/clifford/Codings/winda-test/pages/trip/plan/index.jsx                       | JavaScript React   |      2,057 |          3 |        111 |      2,171 |
| /Users/clifford/Codings/winda-test/pages/trip/stays/index.jsx                      | JavaScript React   |        295 |        226 |         42 |        563 |
| /Users/clifford/Codings/winda-test/postcss.config.js                               | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/clifford/Codings/winda-test/public/images/pin.svg                           | XML                |          1 |          0 |          0 |          1 |
| /Users/clifford/Codings/winda-test/public/vercel.svg                               | XML                |          4 |          0 |          0 |          4 |
| /Users/clifford/Codings/winda-test/redux/actions/activity.js                       | JavaScript         |         31 |          0 |          2 |         33 |
| /Users/clifford/Codings/winda-test/redux/actions/auth.js                           | JavaScript         |        225 |          0 |         10 |        235 |
| /Users/clifford/Codings/winda-test/redux/actions/home.js                           | JavaScript         |         10 |          0 |          2 |         12 |
| /Users/clifford/Codings/winda-test/redux/actions/stay.js                           | JavaScript         |         78 |          0 |         17 |         95 |
